Congress,Name,District,CF score,CF Dyn,Previous CFDyn Score,Change in CFDyn,Cook PVI,Change in PVI,Income (Median),Income (Mean),Vote Share
118,Nanette Barragan,44,-0.817,-0.708,-0.805,0.097,-24,8,"78,725","101,301",72.21
118,Norma Torres,35,-0.506,-0.514,-0.594,0.08,-13,4,"84,692","101,740",57.36
118,Pete Aguilar,33,-0.781,-0.776,-0.888,0.112,-12,-3,"81,830","102,149",57.71
118,Raul Ruiz,25,-0.828,-0.852,-0.867,0.015,-6,-2,"65,453","85,292",57.38
118,Ro Khanna,17,-0.842,-0.849,-0.897,0.048,-23,1,"166,489","218,485",70.93
118,Salud Carbajal,24,-0.88,-0.842,-0.870,0.028,-13,-3,"91,784","126,244",60
118,Sara Jacobs,51,-0.843,-0.84,-0.818,-0.022,-12,5,"100,357","126,435",61.86
118,Scott Peters,50,-0.834,-0.678,-0.829,0.151,-14,-2,"108,881","151,317",62.84
118,Ted Lieu,36,-0.612,-0.715,-0.749,0.034,-21,-2,"121,164","181,074",69.75
118,Tom McClintock,5,1.26,1.271,1.319,-0.048,9,1,"84,734","115,178",61.31
118,Tony Cardenas,29,-0.467,-0.554,-0.470,-0.084,-26,1,"67,175","92,527",58.54
118,Young Kim,40,1.313,1.322,1.322,0,2,5,"124,144","163,733",56.84
118,Zoe Lofgren,18,-0.824,-0.91,-0.870,-0.04,-21,2,"96,509","125,207",65.85
